,Plain top-3 (no overlay),Top-3 + abs-mom overlay,Top-3 + overlay + band(4),Top-2 + overlay,Top-4 + overlay,Top-3 + overlay + band(5),SPY buy & hold,Equal-weight sectors
2017-06-27,1.8208174247972289,1.7821892619708757,1.7736514288742045,1.6585990144956915,1.8413246893241166,1.8293325926766613,2.191938629237374,2.1158648364568737
2017-06-28,1.8435310256516215,1.804420999756392,1.7957766623334341,1.6821264284229054,1.8632217532752715,1.852152415122405,2.211557264126033,2.1291364066583687
2017-06-29,1.8320643400755319,1.7931975768992765,1.7846070068921438,1.6735719246338174,1.8500631980056397,1.8406321048657892,2.192120574132628,2.1129019099592683
2017-06-30,1.8359967774189037,1.7970465886185658,1.7884375793691216,1.6720960229897266,1.8554396208402977,1.8445829325011793,2.1962073977263685,2.1170870194645506
2017-07-03,1.8444509864934062,1.8053214438708507,1.796672792741304,1.6784899950990808,1.8613816158101297,1.8530766782192667,2.1999317666777674,2.1269003785073335
2017-07-05,1.853279949880875,1.8139631031219055,1.805273052885127,1.688096193354912,1.8669348381327822,1.8619469308125733,2.2050177723167836,2.1218758188857945
2017-07-06,1.8375832320896046,1.7985993870706356,1.7899829389176478,1.6740179874576917,1.8503281428764455,1.8461768063275135,2.1848539405859926,2.103162771178692
2017-07-07,1.8536084624402407,1.814284646373717,1.8055930557379047,1.6894043567728407,1.8665628548230675,1.862276979681706,2.1990231584278503,2.113647504966435
2017-07-10,1.8591352047781806,1.8196941403263869,1.8109766347344636,1.6944993564602198,1.871735002351624,1.8678295681798338,2.2013846150043728,2.114358901782087
2017-07-11,1.8544805938738373,1.815138275768304,1.8064425956985282,1.68887711034703,1.8672755455884338,1.8631531896931266,2.1997498217825138,2.1118807267989346
2017-07-12,1.8679324621018838,1.828304766149481,1.8195460101204104,1.702589080875199,1.8809905290456412,1.8766679664339618,2.216280017818172,2.1282932021293886
2017-07-13,1.8724344041584675,1.83271120068926,1.8239313350039625,1.7093531504009642,1.8844545795172498,1.8811909621073843,2.220004067847756,2.1303726429932026
