,XLB
2006-10-27,10.874804496765137
2006-10-30,10.904108047485352
2006-10-31,10.923657417297363
2006-11-01,10.838971138000488
2006-11-02,10.874804496765137
2006-11-03,10.838971138000488
2006-11-06,10.972505569458008
2006-11-07,10.936683654785156
2006-11-08,10.962736129760742
2006-11-09,11.083242416381836
2006-11-10,10.9757661819458
2006-11-13,11.083242416381836
2006-11-14,11.079983711242676
2006-11-15,11.12558364868164
2006-11-16,11.06695556640625
2006-11-17,11.01810359954834
2006-11-20,11.229799270629883
2006-11-21,11.259114265441895
2006-11-22,11.41544246673584
2006-11-24,11.425216674804688
2006-11-27,11.236313819885254
2006-11-28,11.281912803649902
2006-11-29,11.376363754272461
2006-11-30,11.399161338806152
2006-12-01,11.307967185974121
2006-12-04,11.474068641662598
2006-12-05,11.522924423217773
2006-12-06,11.477325439453125
2006-12-07,11.548977851867676
2006-12-08,11.578289031982422
2006-12-11,11.535951614379883
2006-12-12,11.405677795410156
2006-12-13,11.474068641662598
2006-12-14,11.55875015258789
2006-12-15,11.645674705505371
2006-12-18,11.527143478393555
2006-12-19,11.612747192382812
2006-12-20,11.556774139404297
2006-12-21,11.418486595153809
2006-12-22,11.355929374694824
2006-12-26,11.45470142364502
2006-12-27,11.56664752960205
2006-12-28,11.550189971923828
2006-12-29,11.471166610717773
2007-01-03,11.395439147949219
2007-01-04,11.342761993408203
2007-01-05,11.26702880859375
2007-01-08,11.26702880859375
2007-01-09,11.270322799682617
2007-01-10,11.349345207214355
2007-01-11,11.471166610717773
2007-01-12,11.599575996398926
2007-01-16,11.6292085647583
2007-01-17,11.668717384338379
2007-01-18,11.599575996398926
2007-01-19,11.777371406555176
2007-01-22,11.655550956726074
2007-01-23,11.803711891174316
2007-01-24,11.925536155700684
2007-01-25,11.886027336120605
2007-01-26,11.879439353942871
2007-01-29,11.833348274230957
2007-01-30,11.866266250610352
2007-01-31,11.935413360595703
2007-02-01,12.080286026000977
2007-02-02,12.060530662536621
2007-02-05,12.01114273071289
2007-02-06,12.093456268310547
2007-02-07,12.093456268310547
2007-02-08,12.106623649597168
2007-02-09,12.050650596618652
2007-02-12,12.100040435791016
2007-02-13,12.343690872192383
2007-02-14,12.419412612915039
2007-02-15,12.478679656982422
2007-02-16,12.416119575500488
2007-02-20,12.518195152282715
2007-02-21,12.597210884094238
2007-02-22,12.593920707702637
2007-02-23,12.643309593200684
2007-02-26,12.75854778289795
2007-02-27,12.241619110107422
2007-02-28,12.254788398742676
2007-03-01,12.202109336853027
2007-03-02,12.001263618469238
2007-03-05,11.843228340148926
2007-03-06,12.083581924438477
2007-03-07,12.024312019348145
2007-03-08,12.142840385437012
2007-03-09,12.28442668914795
2007-03-12,12.323932647705078
2007-03-13,12.024312019348145
2007-03-14,12.100040435791016
2007-03-15,12.33051872253418
2007-03-16,12.230952262878418
2007-03-19,12.412280082702637
2007-03-20,12.4650239944458
2007-03-21,12.606783866882324
2007-03-22,12.547449111938477
2007-03-23,12.600191116333008
2007-03-26,12.689207077026367
2007-03-27,12.550741195678711
2007-03-28,12.425468444824219
2007-03-29,12.521075248718262
2007-03-30,12.544148445129395
2007-04-02,12.540851593017578
2007-04-03,12.676018714904785
2007-04-04,12.695791244506836
2007-04-05,12.679314613342285
