,XLRE
2022-08-10,39.13616180419922
2022-08-11,38.953487396240234
2022-08-12,39.614601135253906
2022-08-15,39.788578033447266
2022-08-16,39.631996154785156
2022-08-17,39.518917083740234
2022-08-18,39.24925231933594
2022-08-19,38.86650466918945
2022-08-22,38.05751419067383
2022-08-23,37.48338317871094
2022-08-24,37.779144287109375
2022-08-25,38.36197280883789
2022-08-26,37.3876953125
2022-08-29,37.06583786010742
2022-08-30,36.53520965576172
2022-08-31,36.404727935791016
2022-09-01,36.53520965576172
2022-09-02,35.90888977050781
2022-09-06,36.28293991088867
2022-09-07,36.97883987426758
2022-09-08,37.0832405090332
2022-09-09,37.43988800048828
2022-09-12,37.7530517578125
2022-09-13,36.3177375793457
2022-09-14,35.874088287353516
2022-09-15,35.09119415283203
2022-09-16,35.09989547729492
2022-09-19,35.03318786621094
2022-09-20,34.11149215698242
2022-09-21,33.611141204833984
2022-09-22,33.295127868652344
2022-09-23,32.8825569152832
2022-09-26,31.995986938476562
2022-09-27,31.57464027404785
2022-09-28,32.17154312133789
2022-09-29,31.276182174682617
2022-09-30,31.609745025634766
2022-10-03,32.1978759765625
2022-10-04,32.70699691772461
2022-10-05,32.101322174072266
2022-10-06,31.04794692993164
2022-10-07,30.310598373413086
2022-10-10,29.96824836730957
2022-10-11,30.249147415161133
2022-10-12,29.845359802246094
2022-10-13,30.407146453857422
2022-10-14,29.64345932006836
2022-10-17,30.74949836730957
2022-10-18,31.153287887573242
2022-10-19,30.372037887573242
2022-10-20,30.22281837463379
2022-10-21,30.433483123779297
2022-10-24,30.415935516357422
2022-10-25,31.61852264404297
2022-10-26,31.557085037231445
2022-10-27,31.57464027404785
2022-10-28,32.320762634277344
2022-10-31,32.241764068603516
2022-11-01,32.1890983581543
2022-11-02,31.346403121948242
2022-11-03,31.328842163085938
2022-11-04,31.76774787902832
2022-11-07,31.75897216796875
2022-11-08,31.952085494995117
2022-11-09,31.600967407226562
2022-11-10,34.023704528808594
2022-11-11,34.00615310668945
2022-11-14,33.10201644897461
2022-11-15,33.51457977294922
2022-11-16,33.27757263183594
2022-11-17,32.97911834716797
2022-11-18,33.40046310424805
2022-11-21,33.63746643066406
2022-11-22,33.80425262451172
2022-11-23,33.85692596435547
2022-11-25,34.058815002441406
2022-11-28,33.10201644897461
2022-11-29,33.655033111572266
2022-11-30,34.4450569152832
2022-12-01,34.37483215332031
2022-12-02,34.208045959472656
2022-12-05,33.62869644165039
2022-12-06,33.37413024902344
2022-12-07,33.44435501098633
2022-12-08,33.69013977050781
2022-12-09,33.61991882324219
2022-12-12,33.90081024169922
