,XLF
2020-11-25,25.831764221191406
2020-11-27,25.750356674194336
2020-11-30,25.216720581054688
2020-12-01,25.60564613342285
2020-12-02,25.886032104492188
2020-12-03,25.895076751708984
2020-12-04,26.21164321899414
2020-12-07,26.03074836730957
2020-12-08,26.021703720092773
2020-12-09,25.958389282226562
2020-12-10,26.003616333007812
2020-12-11,25.741315841674805
2020-12-14,25.44283676147461
2020-12-15,25.876985549926758
2020-12-16,25.922212600708008
2020-12-17,25.99456787109375
2020-12-18,25.768447875976562
2020-12-21,26.115814208984375
2020-12-22,25.861202239990234
2020-12-23,26.288585662841797
2020-12-24,26.3249568939209
2020-12-28,26.452268600463867
2020-12-29,26.361326217651367
2020-12-30,26.479543685913086
2020-12-31,26.806900024414062
2021-01-04,26.44316864013672
2021-01-05,26.561378479003906
2021-01-06,27.734413146972656
2021-01-07,28.1345157623291
2021-01-08,28.116323471069336
2021-01-11,28.207258224487305
2021-01-12,28.498245239257812
2021-01-13,28.480058670043945
2021-01-14,28.607364654541016
2021-01-15,28.1345157623291
2021-01-19,28.207258224487305
2021-01-20,28.089054107666016
2021-01-21,27.788969039916992
2021-01-22,27.588918685913086
2021-01-25,27.388872146606445
2021-01-26,27.17062759399414
2021-01-27,26.37042808532715
2021-01-28,26.861459732055664
2021-01-29,26.3249568939209
2021-02-01,26.670499801635742
2021-02-02,27.31612205505371
2021-02-03,27.470706939697266
2021-02-04,28.079946517944336
2021-02-05,28.089054107666016
2021-02-08,28.452781677246094
2021-02-09,28.461870193481445
2021-02-10,28.461870193481445
2021-02-11,28.37093734741211
2021-02-12,28.661922454833984
2021-02-16,29.15296173095703
2021-02-17,29.29845428466797
2021-02-18,29.12567901611328
2021-02-19,29.471220016479492
2021-02-22,29.7440185546875
2021-02-23,29.925884246826172
2021-02-24,30.50785255432129
2021-02-25,29.95316505432129
2021-02-26,29.380294799804688
2021-03-01,30.29871368408203
2021-03-02,30.189586639404297
2021-03-03,30.426010131835938
2021-03-04,30.08047103881836
2021-03-05,30.65335464477539
2021-03-08,31.04435157775879
2021-03-09,30.762462615966797
2021-03-10,31.389890670776367
2021-03-11,31.298961639404297
2021-03-12,31.617229461669922
2021-03-15,31.435365676879883
2021-03-16,31.108003616333008
2021-03-17,31.317148208618164
2021-03-18,31.480831146240234
2021-03-19,31.117097854614258
2021-03-22,30.716142654418945
2021-03-23,30.2868595123291
2021-03-24,30.39646339416504
2021-03-25,30.90794563293457
2021-03-26,31.39202117919922
2021-03-29,31.11801528930664
2021-03-30,31.337223052978516
2021-03-31,31.099748611450195
2021-04-01,31.483354568481445
2021-04-05,31.729961395263672
2021-04-06,31.66602897644043
2021-04-07,31.821298599243164
2021-04-08,31.83043670654297
