,XLC
2020-04-06,42.28280258178711
2020-04-07,42.59336471557617
2020-04-08,43.506221771240234
2020-04-09,43.826168060302734
2020-04-13,43.89205551147461
2020-04-14,45.19075393676758
2020-04-15,44.76726150512695
2020-04-16,44.94607162475586
2020-04-17,45.557769775390625
2020-04-20,45.14369583129883
2020-04-21,43.722660064697266
2020-04-22,44.899009704589844
2020-04-23,45.21897888183594
2020-04-24,45.793033599853516
2020-04-27,46.16947555541992
2020-04-28,45.3319206237793
2020-04-29,47.524627685546875
2020-04-30,47.317596435546875
2020-05-01,46.65883255004883
2020-05-04,46.93175506591797
2020-05-05,47.17643737792969
2020-05-06,47.04469299316406
2020-05-07,47.92930221557617
2020-05-08,48.80451583862305
2020-05-11,48.832740783691406
2020-05-12,47.88224411010742
2020-05-13,47.063507080078125
2020-05-14,47.571693420410156
2020-05-15,48.230445861816406
2020-05-18,49.2468147277832
2020-05-19,49.23740005493164
2020-05-20,50.601966857910156
2020-05-21,50.244361877441406
2020-05-22,50.545509338378906
2020-05-26,50.68666458129883
2020-05-27,51.044281005859375
2020-05-28,50.5643310546875
2020-05-29,50.83724594116211
2020-06-01,51.420711517333984
2020-06-02,51.627750396728516
2020-06-03,51.7877311706543
2020-06-04,51.40188217163086
2020-06-05,52.23945236206055
2020-06-08,53.21818542480469
2020-06-09,53.08643341064453
2020-06-10,52.926456451416016
2020-06-11,50.489036560058594
2020-06-12,50.93135452270508
2020-06-15,51.75009536743164
2020-06-16,52.17356872558594
2020-06-17,52.23945236206055
2020-06-18,52.408851623535156
2020-06-19,52.26768112182617
2020-06-22,52.38272476196289
2020-06-23,52.72220993041992
2020-06-24,51.5340461730957
2020-06-25,51.76036071777344
2020-06-26,49.47835159301758
2020-06-29,50.393028259277344
2020-06-30,50.958824157714844
2020-07-01,52.222434997558594
2020-07-02,52.05268859863281
2020-07-06,53.099403381347656
2020-07-07,52.94852828979492
2020-07-08,53.420021057128906
2020-07-09,53.48602294921875
2020-07-10,54.41015625
2020-07-13,53.3162841796875
2020-07-14,53.8443489074707
2020-07-15,54.16496658325195
2020-07-16,54.25926971435547
2020-07-17,54.136688232421875
2020-07-20,54.78733444213867
2020-07-21,54.52329635620117
2020-07-22,54.579891204833984
2020-07-23,53.6934700012207
2020-07-24,53.608612060546875
2020-07-27,53.976375579833984
2020-07-28,53.420021057128906
2020-07-29,53.910362243652344
2020-07-30,54.06125259399414
2020-07-31,54.815635681152344
2020-08-03,54.86277389526367
2020-08-04,55.21168518066406
2020-08-05,55.126808166503906
2020-08-06,56.579002380371094
2020-08-07,56.512996673583984
2020-08-10,56.32440948486328
2020-08-11,55.485145568847656
2020-08-12,56.14524459838867
2020-08-13,56.42813491821289
2020-08-14,56.418704986572266
2020-08-17,56.48470687866211
2020-08-18,56.99392318725586
2020-08-19,56.833614349365234
2020-08-20,57.54084777832031
2020-08-21,57.28623580932617
2020-08-24,57.984046936035156
2020-08-25,58.530982971191406
2020-08-26,60.53010940551758
2020-08-27,59.794586181640625
2020-08-28,59.9360237121582
2020-08-31,59.653141021728516
2020-09-01,60.14349365234375
2020-09-02,61.425941467285156
2020-09-03,59.34193801879883
2020-09-04,58.25751876831055
2020-09-08,56.720458984375
2020-09-09,57.399410247802734
2020-09-10,56.55072021484375
2020-09-11,56.37155532836914
2020-09-14,56.58842849731445
2020-09-15,57.59742736816406
2020-09-16,56.97505569458008
2020-09-17,55.928348541259766
2020-09-18,55.390838623046875
2020-09-21,54.74258804321289
2020-09-22,55.80096435546875
2020-09-23,54.46855545043945
2020-09-24,54.5724983215332
2020-09-25,55.300140380859375
2020-09-28,56.03722381591797
2020-09-29,56.09391784667969
2020-09-30,56.131717681884766
2020-10-01,56.934940338134766
2020-10-02,55.81040954589844
2020-10-05,56.72705841064453
2020-10-06,55.536373138427734
2020-10-07,55.942710876464844
2020-10-08,56.67034912109375
2020-10-09,57.01054763793945
2020-10-12,58.513057708740234
