,XLV
2000-10-12,18.47228240966797
2000-10-13,18.818628311157227
2000-10-16,18.64019775390625
2000-10-17,17.71659278869629
2000-10-18,18.010475158691406
2000-10-19,18.22037696838379
2000-10-20,18.598217010498047
2000-10-23,18.871112823486328
2000-10-24,18.913097381591797
2000-10-25,18.57723045349121
2000-10-26,18.839628219604492
2000-10-27,19.00756072998047
2000-10-30,19.37491226196289
2000-10-31,19.81570816040039
2000-11-01,19.95216178894043
2000-11-02,20.13059425354004
2000-11-03,20.05712127685547
2000-11-06,20.19355583190918
2000-11-07,20.277524948120117
2000-11-08,20.10959243774414
2000-11-09,19.18597412109375
2000-11-10,19.11252212524414
2000-11-13,18.703182220458984
2000-11-14,19.154491424560547
2000-11-15,19.248945236206055
2000-11-16,19.018049240112305
2000-11-17,18.892099380493164
2000-11-20,18.787151336669922
2000-11-21,18.346332550048828
2000-11-22,18.16790771484375
2000-11-24,18.251869201660156
2000-11-27,18.36733055114746
2000-11-28,18.13642120361328
2000-11-29,18.178396224975586
2000-11-30,18.010475158691406
2000-12-01,18.13642120361328
2000-12-04,18.14691734313965
2000-12-05,18.619218826293945
2000-12-06,18.818628311157227
2000-12-07,18.503761291503906
2000-12-08,18.90260124206543
2000-12-11,19.10201072692871
2000-12-12,19.14400291442871
2000-12-13,19.248945236206055
2000-12-14,19.081026077270508
2000-12-15,18.598217010498047
2000-12-18,18.496601104736328
2000-12-19,18.517601013183594
2000-12-20,17.677806854248047
2000-12-21,17.803770065307617
2000-12-22,18.108190536499023
2000-12-26,18.139690399169922
2000-12-27,18.202688217163086
2000-12-28,18.517601013183594
2000-12-29,18.307649612426758
2001-01-02,17.562334060668945
2001-01-03,18.947999954223633
2001-01-04,19.50437355041504
2001-01-05,18.979490280151367
2001-01-08,18.706560134887695
2001-01-09,18.937509536743164
2001-01-10,19.084476470947266
2001-01-11,19.514869689941406
2001-01-12,19.777297973632812
2001-01-16,19.987258911132812
2001-01-17,20.134225845336914
2001-01-18,20.071237564086914
2001-01-19,19.57785415649414
2001-01-22,19.441390991210938
2001-01-23,19.892772674560547
2001-01-24,19.703815460205078
2001-01-25,19.67234230041504
2001-01-26,19.47287940979004
2001-01-29,19.79241180419922
2001-01-30,19.752119064331055
2001-01-31,19.631183624267578
2001-02-01,19.89319610595703
2001-02-02,19.65805435180664
2001-02-05,19.644620895385742
2001-02-06,19.664764404296875
2001-02-07,19.852895736694336
2001-02-08,19.973814010620117
2001-02-09,19.65132713317871
2001-02-12,19.812580108642578
2001-02-13,19.832735061645508
2001-02-14,19.617748260498047
2001-02-15,19.6983642578125
2001-02-16,19.61102867126465
2001-02-20,19.59086799621582
2001-02-21,19.49009132385254
2001-02-22,19.120586395263672
2001-02-23,19.06683349609375
2001-02-26,19.167604446411133
2001-02-27,19.510244369506836
2001-02-28,19.254959106445312
2001-03-01,19.187763214111328
2001-03-02,19.22136116027832
2001-03-05,19.11386489868164
2001-03-06,19.18105125427246
2001-03-07,19.268400192260742
2001-03-08,19.37588882446289
2001-03-09,19.20792007446289
2001-03-12,18.24718475341797
2001-03-13,18.253910064697266
2001-03-14,17.904544830322266
2001-03-15,18.4353084564209
2001-03-16,18.190032958984375
2001-03-19,18.190032958984375
2001-03-20,17.807016372680664
2001-03-21,17.336633682250977
2001-03-22,16.953622817993164
2001-03-23,17.336633682250977
2001-03-26,17.639034271240234
2001-03-27,18.163158416748047
2001-03-28,17.786863327026367
2001-03-29,18.00861167907715
2001-03-30,18.022050857543945
2001-04-02,17.8002986907959
2001-04-03,17.403844833374023
2001-04-04,17.511354446411133
2001-04-05,17.948144912719727
2001-04-06,17.867502212524414
2001-04-09,18.089242935180664
2001-04-10,18.445383071899414
2001-04-11,18.2236385345459
2001-04-12,18.210186004638672
2001-04-16,18.337871551513672
2001-04-17,18.6536922454834
2001-04-18,19.399574279785156
2001-04-19,19.419729232788086
2001-04-20,19.473487854003906
2001-04-23,19.023273468017578
2001-04-24,19.077035903930664
2001-04-25,19.298768997192383
2001-04-26,19.540691375732422
2001-04-27,19.352540969848633
2001-04-30,19.352540969848633
2001-05-01,19.6549072265625
2001-05-02,19.71539306640625
2001-05-03,19.33237648010254
2001-05-04,19.392854690551758
2001-05-07,19.439878463745117
2001-05-08,19.117347717285156
2001-05-09,19.23830795288086
2001-05-10,19.365968704223633
2001-05-11,19.460044860839844
2001-05-14,19.372690200805664
