,XLI
2006-07-27,21.55895233154297
2006-07-28,21.804096221923828
2006-07-31,21.71556854248047
2006-08-01,21.57938575744629
2006-08-02,21.71556854248047
2006-08-03,21.89261817932129
2006-08-04,21.83133316040039
2006-08-07,21.74280548095703
2006-08-08,21.552146911621094
2006-08-09,21.21847152709961
2006-08-10,21.388708114624023
2006-08-11,21.26613998413086
2006-08-14,21.3070011138916
2006-08-15,21.69513702392578
2006-08-16,22.178617477416992
2006-08-17,22.205862045288086
2006-08-18,22.15137481689453
2006-08-21,21.953908920288086
2006-08-22,22.021997451782227
2006-08-23,21.858570098876953
2006-08-24,21.74280548095703
2006-08-25,21.749616622924805
2006-08-28,21.838136672973633
2006-08-29,21.89261817932129
2006-08-30,21.91304588317871
2006-08-31,21.96070671081543
2006-09-01,22.11733055114746
2006-09-05,22.164997100830078
2006-09-06,21.93347930908203
2006-09-07,21.878999710083008
2006-09-08,21.919851303100586
2006-09-11,21.94028663635254
2006-09-12,22.144569396972656
2006-09-13,22.369285583496094
2006-09-14,22.267141342163086
2006-09-15,22.38202476501465
2006-09-18,22.436723709106445
2006-09-19,22.34783172607422
2006-09-20,22.47093391418457
2006-09-21,22.258939743041992
2006-09-22,22.149526596069336
2006-09-25,22.416215896606445
2006-09-26,22.696590423583984
2006-09-27,22.751293182373047
2006-09-28,22.90858268737793
2006-09-29,22.799165725708008
2006-10-02,22.8675537109375
2006-10-03,23.01116371154785
2006-10-04,23.353076934814453
2006-10-05,23.46932029724121
2006-10-06,23.42146110534668
2006-10-09,23.44881248474121
2006-10-10,23.483007431030273
2006-10-11,23.489850997924805
2006-10-12,23.688156127929688
2006-10-13,23.633451461791992
2006-10-16,23.79073715209961
2006-10-17,23.660795211791992
2006-10-18,23.599266052246094
2006-10-19,23.544559478759766
2006-10-20,23.44198226928711
2006-10-23,23.565073013305664
2006-10-24,23.57874298095703
2006-10-25,23.599266052246094
2006-10-26,23.592418670654297
2006-10-27,23.42146110534668
2006-10-30,23.496675491333008
2006-10-31,23.44198226928711
2006-11-01,23.325729370117188
2006-11-02,23.243661880493164
2006-11-03,23.195789337158203
2006-11-06,23.40095329284668
2006-11-07,23.667644500732422
2006-11-08,23.70183753967285
2006-11-09,23.558231353759766
2006-11-10,23.592418670654297
2006-11-13,23.777061462402344
2006-11-14,23.852285385131836
2006-11-15,24.08479118347168
2006-11-16,24.19419288635254
2006-11-17,24.207876205444336
2006-11-20,24.125818252563477
2006-11-21,24.207876205444336
2006-11-22,24.30360984802246
2006-11-24,24.255746841430664
2006-11-27,23.86595916748047
2006-11-28,23.838605880737305
2006-11-29,24.030078887939453
2006-11-30,24.016399383544922
2006-12-01,23.8796329498291
2006-12-04,24.187360763549805
2006-12-05,24.2420711517334
2006-12-06,24.160005569458008
2006-12-07,24.118980407714844
2006-12-08,24.14632797241211
2006-12-11,24.036916732788086
2006-12-12,24.07794761657715
2006-12-13,23.99588394165039
2006-12-14,24.132654190063477
2006-12-15,24.265697479248047
2006-12-18,24.293285369873047
2006-12-19,24.30017852783203
2006-12-20,24.33463478088379
2006-12-21,24.286388397216797
2006-12-22,24.134716033935547
2006-12-26,24.251909255981445
2006-12-27,24.37599754333496
2006-12-28,24.293285369873047
2006-12-29,24.134716033935547
2007-01-03,24.286388397216797
2007-01-04,24.182968139648438
2007-01-05,24.100250244140625
2007-01-08,24.189868927001953
2007-01-09,24.176082611083984
2007-01-10,24.258800506591797
2007-01-11,24.45871925354004
2007-01-12,24.527664184570312
2007-01-16,24.65864372253418
2007-01-17,24.679317474365234
2007-01-18,24.56902503967285
2007-01-19,24.55522918701172
2007-01-22,24.286388397216797
2007-01-23,24.56902503967285
2007-01-24,24.50008201599121
2007-01-25,24.369102478027344
2007-01-26,24.272594451904297
2007-01-29,24.327749252319336
2007-01-30,24.31395721435547
2007-01-31,24.63796615600586
2007-02-01,24.85165786743164
2007-02-02,24.948177337646484
2007-02-05,24.996437072753906
2007-02-06,25.00330924987793
2007-02-07,24.98263931274414
