,XLK
2022-05-17,67.09528350830078
2022-05-18,64.02525329589844
2022-05-19,63.323116302490234
2022-05-20,63.463539123535156
2022-05-23,64.92107391357422
2022-05-24,63.957462310791016
2022-05-25,64.70316314697266
2022-05-26,66.25753784179688
2022-05-27,68.49954223632812
2022-05-31,68.0104751586914
2022-06-01,67.80709838867188
2022-06-02,69.44864654541016
2022-06-03,67.7877426147461
2022-06-06,67.79257202148438
2022-06-07,68.60122680664062
2022-06-08,67.82648468017578
2022-06-09,66.01544189453125
2022-06-10,63.47806167602539
2022-06-13,60.6646614074707
2022-06-14,61.047210693359375
2022-06-15,62.335262298583984
2022-06-16,59.79790115356445
2022-06-17,60.3450813293457
2022-06-21,61.88069152832031
2022-06-22,61.61851501464844
2022-06-23,62.54096603393555
2022-06-24,64.78876495361328
2022-06-27,64.35184478759766
2022-06-28,62.42444610595703
2022-06-29,62.5506591796875
2022-06-30,61.715614318847656
2022-07-01,61.85641098022461
2022-07-05,62.63319396972656
2022-07-06,63.172096252441406
2022-07-07,64.47805786132812
2022-07-08,64.50719451904297
2022-07-11,63.618743896484375
2022-07-12,62.74971389770508
2022-07-13,62.584651947021484
2022-07-14,63.157527923583984
2022-07-15,64.26929473876953
2022-07-18,63.647865295410156
2022-07-19,65.58983612060547
2022-07-20,66.6142349243164
2022-07-21,67.55122375488281
2022-07-22,66.61908721923828
2022-07-25,66.19670867919922
2022-07-26,65.1237564086914
2022-07-27,67.92504119873047
2022-07-28,68.95913696289062
2022-07-29,70.01751708984375
2022-08-01,69.86702728271484
2022-08-02,69.37181091308594
2022-08-03,71.2166748046875
2022-08-04,71.54196166992188
2022-08-05,71.37689208984375
2022-08-08,70.77002716064453
2022-08-09,70.06121063232422
2022-08-10,71.97403717041016
2022-08-11,71.69245910644531
2022-08-12,73.11980438232422
2022-08-15,73.58101654052734
2022-08-16,73.3819580078125
2022-08-17,72.85762023925781
2022-08-18,73.23631286621094
2022-08-19,71.90605926513672
2022-08-22,69.90099334716797
2022-08-23,69.71651458740234
2022-08-24,69.76022338867188
2022-08-25,70.93994903564453
2022-08-26,67.91048431396484
2022-08-29,67.0123291015625
2022-08-30,66.31320190429688
2022-08-31,65.6675033569336
2022-09-01,65.34709930419922
2022-09-02,64.49748229980469
2022-09-06,64.07025146484375
2022-09-07,65.09463500976562
2022-09-08,65.31795501708984
2022-09-09,66.60936737060547
2022-09-12,67.67742919921875
2022-09-13,64.08480834960938
2022-09-14,64.31786346435547
2022-09-15,62.83708953857422
2022-09-16,62.4875602722168
2022-09-19,62.99711608886719
2022-09-20,62.62723159790039
2022-09-21,61.64897537231445
2022-09-22,61.02115249633789
2022-09-23,60.22298812866211
2022-09-26,59.80442428588867
2022-09-27,59.882301330566406
2022-09-28,60.51499938964844
2022-09-29,58.9381217956543
2022-09-30,57.80900192260742
2022-10-03,59.600032806396484
2022-10-04,61.60031509399414
2022-10-05,61.80473327636719
2022-10-06,61.29856491088867
2022-10-07,58.77751541137695
2022-10-10,57.78953170776367
2022-10-11,56.90375900268555
2022-10-12,56.72854232788086
2022-10-13,58.490360260009766
2022-10-14,56.845359802246094
2022-10-17,58.577972412109375
2022-10-18,59.07439041137695
2022-10-19,58.904056549072266
2022-10-20,58.9381217956543
2022-10-21,60.51499938964844
2022-10-24,61.35210037231445
2022-10-25,62.525028228759766
2022-10-26,61.133094787597656
2022-10-27,60.437129974365234
2022-10-28,63.06525421142578
2022-10-31,62.23301696777344
2022-11-01,61.71225357055664
2022-11-02,59.58054733276367
2022-11-03,57.82846450805664
2022-11-04,58.88459014892578
2022-11-07,59.867698669433594
2022-11-08,60.44199752807617
2022-11-09,58.869991302490234
2022-11-10,63.70766830444336
2022-11-11,64.7978744506836
2022-11-14,64.24303436279297
2022-11-15,65.0217514038086
2022-11-16,64.1311264038086
2022-11-17,64.21383666992188
2022-11-18,64.28685760498047
2022-11-21,63.59574890136719
2022-11-22,64.82707977294922
2022-11-23,65.40135192871094
2022-11-25,65.0217514038086
2022-11-28,63.62981414794922
2022-11-29,63.006839752197266
2022-11-30,66.17034149169922
2022-12-01,66.26280212402344
2022-12-02,65.8783187866211
2022-12-05,64.78325653076172
2022-12-06,63.39620590209961
2022-12-07,63.07498550415039
2022-12-08,64.10676574707031
2022-12-09,63.71256637573242
2022-12-12,65.10449981689453
2022-12-13,65.87345886230469
2022-12-14,65.31863403320312
2022-12-15,62.87544250488281
2022-12-16,62.04319763183594
