,XLP
1999-10-05,12.209939956665039
1999-10-06,12.688760757446289
1999-10-07,12.58968734741211
1999-10-08,12.928166389465332
1999-10-11,12.944680213928223
1999-10-12,12.697015762329102
1999-10-13,12.449353218078613
1999-10-14,12.482368469238281
1999-10-15,12.028308868408203
1999-10-18,12.251214027404785
1999-10-19,12.771310806274414
1999-10-20,12.820850372314453
1999-10-21,12.911653518676758
1999-10-22,12.994209289550781
1999-10-25,12.845612525939941
1999-10-26,12.680500984191895
1999-10-27,12.837358474731445
1999-10-28,13.068517684936523
1999-10-29,13.118047714233398
1999-11-01,13.14280891418457
1999-11-02,12.88688850402832
1999-11-03,13.217111587524414
1999-11-04,13.159323692321777
1999-11-05,13.258389472961426
1999-11-08,13.241877555847168
1999-11-09,13.010727882385254
1999-11-10,13.018972396850586
1999-11-11,13.018972396850586
1999-11-12,13.109790802001953
1999-11-15,13.052006721496582
1999-11-16,13.29967212677002
1999-11-17,13.233626365661621
1999-11-18,13.29967212677002
1999-11-19,13.20885944366455
1999-11-22,13.349202156066895
1999-11-23,13.316181182861328
1999-11-24,13.473037719726562
1999-11-26,13.34095287322998
1999-11-29,13.33267879486084
1999-11-30,13.159323692321777
1999-12-01,13.109790802001953
1999-12-02,13.175834655761719
1999-12-03,13.266647338867188
1999-12-06,12.88688850402832
1999-12-07,12.680500984191895
1999-12-08,12.482368469238281
1999-12-09,12.465862274169922
1999-12-10,12.531905174255371
1999-12-13,12.26772403717041
1999-12-14,12.251214027404785
1999-12-15,12.465862274169922
1999-12-16,12.152149200439453
1999-12-17,12.187652587890625
1999-12-20,12.030338287353516
1999-12-21,11.914423942565918
1999-12-22,12.146251678466797
1999-12-23,12.353246688842773
1999-12-27,12.436038970947266
1999-12-28,12.33668327331543
1999-12-29,12.187652587890625
1999-12-30,12.195929527282715
1999-12-31,12.204209327697754
2000-01-03,12.055176734924316
2000-01-04,11.715709686279297
2000-01-05,11.922704696655273
2000-01-06,12.146251678466797
2000-01-07,12.916259765625
2000-01-10,12.626473426818848
2000-01-11,12.626473426818848
2000-01-12,12.692712783813477
2000-01-13,12.758950233459473
2000-01-14,12.800348281860352
2000-01-18,12.585075378417969
2000-01-19,12.676152229309082
2000-01-20,12.502278327941895
2000-01-21,12.36152458190918
2000-01-24,12.005497932434082
2000-01-25,11.856462478637695
2000-01-26,11.964103698730469
2000-01-27,12.187652587890625
2000-01-28,12.088298797607422
2000-01-31,12.311846733093262
2000-02-01,12.187652587890625
2000-02-02,12.212488174438477
2000-02-03,12.046892166137695
2000-02-04,12.038616180419922
2000-02-07,12.02206039428711
2000-02-08,12.171092987060547
2000-02-09,12.063451766967773
2000-02-10,11.65775203704834
2000-02-11,11.434203147888184
2000-02-14,11.49216079711914
2000-02-15,11.74882698059082
2000-02-16,11.583232879638672
2000-02-17,11.409366607666016
2000-02-18,11.27688980102539
2000-02-22,11.459037780761719
2000-02-23,11.210654258728027
2000-02-24,10.978822708129883
2000-02-25,10.70559024810791
2000-02-28,10.912586212158203
2000-02-29,10.871190071105957
2000-03-01,10.771829605102539
2000-03-02,10.796669960021973
2000-03-03,10.738715171813965
2000-03-06,10.482044219970703
2000-03-07,9.919026374816895
2000-03-08,10.225375175476074
2000-03-09,10.498604774475098
2000-03-10,10.374407768249512
2000-03-13,10.208810806274414
2000-03-14,10.150853157043457
2000-03-15,10.796669960021973
2000-03-16,11.260330200195312
2000-03-17,11.21341609954834
2000-03-20,11.113736152648926
2000-03-21,11.32140064239502
2000-03-22,11.230023384094238
2000-03-23,11.138663291931152
2000-03-24,10.939314842224121
2000-03-27,10.79809856414795
2000-03-28,10.922694206237793
2000-03-29,11.18850326538086
2000-03-30,11.338005065917969
2000-03-31,11.279864311218262
2000-04-03,11.794851303100586
2000-04-04,12.127099990844727
2000-04-05,11.960981369018555
2000-04-06,11.74501895904541
2000-04-07,11.595504760742188
2000-04-10,11.88621997833252
2000-04-11,12.0938720703125
2000-04-12,12.235081672668457
2000-04-13,12.152020454406738
2000-04-14,11.553969383239746
2000-04-17,11.88621997833252
2000-04-18,11.960981369018555
2000-04-19,12.102188110351562
2000-04-20,12.0938720703125
2000-04-24,12.42612075805664
2000-04-25,12.367982864379883
2000-04-26,12.226777076721191
2000-04-27,12.226777076721191
2000-04-28,11.877911567687988
2000-05-01,12.027429580688477
2000-05-02,12.060650825500488
2000-05-03,12.060650825500488
2000-05-04,12.060650825500488
2000-05-05,12.343060493469238
2000-05-08,12.60056209564209
2000-05-09,12.658696174621582
2000-05-10,12.575636863708496
2000-05-11,12.559033393859863
2000-05-12,12.392901420593262
2000-05-15,12.700238227844238
2000-05-16,12.64208698272705
2000-05-17,12.683623313903809
2000-05-18,12.658696174621582
2000-05-19,12.750064849853516
2000-05-22,12.708539009094238
2000-05-23,12.64208698272705
2000-05-24,12.916190147399902
2000-05-25,12.882969856262207
2000-05-26,12.924503326416016
2000-05-30,12.849740028381348
2000-05-31,12.725154876708984
2000-06-01,12.75837516784668
2000-06-02,12.318156242370605
2000-06-05,12.301532745361328
2000-06-06,12.343060493469238
2000-06-07,12.47596549987793
2000-06-08,12.47596549987793
2000-06-09,12.617168426513672
2000-06-12,12.60056209564209
2000-06-13,12.741765022277832
2000-06-14,12.907896041870117
2000-06-15,13.14876937866211
2000-06-16,12.904403686523438
2000-06-19,12.929378509521484
2000-06-20,12.704597473144531
2000-06-21,12.954355239868164
2000-06-22,12.67128849029541
2000-06-23,12.821149826049805
2000-06-26,12.987655639648438
2000-06-27,13.187467575073242
2000-06-28,13.187467575073242
2000-06-29,13.3040189743042
2000-06-30,13.445550918579102
2000-07-03,13.470535278320312
2000-07-05,13.503829956054688
2000-07-06,13.520479202270508
2000-07-07,13.428903579711914
2000-07-10,13.55378532409668
2000-07-11,13.562103271484375
2000-07-12,13.287375450134277
2000-07-13,13.087564468383789
2000-07-14,12.937711715698242
2000-07-17,13.00429916381836
2000-07-18,13.020957946777344
2000-07-19,13.037609100341797
2000-07-20,12.821149826049805
2000-07-21,12.854448318481445
2000-07-24,13.120867729187012
2000-07-25,12.887747764587402
2000-07-26,12.89608383178711
2000-07-27,12.987655639648438
2000-07-28,13.095888137817383
2000-07-31,12.954355239868164
2000-08-01,13.38727855682373
2000-08-02,13.378955841064453
2000-08-03,13.453879356384277
2000-08-04,13.353973388671875
2000-08-07,13.187467575073242
2000-08-08,13.245750427246094
2000-08-09,12.704597473144531
2000-08-10,12.929378509521484
2000-08-11,13.020957946777344
2000-08-14,13.06258487701416
2000-08-15,13.037609100341797
2000-08-16,13.170812606811523
2000-08-17,13.095888137817383
2000-08-18,12.937711715698242
2000-08-21,13.070906639099121
2000-08-22,13.020957946777344
2000-08-23,13.104211807250977
2000-08-24,13.020957946777344
2000-08-25,13.070906639099121
2000-08-28,13.029282569885254
2000-08-29,12.829475402832031
2000-08-30,12.771195411682129
2000-08-31,12.79616928100586
2000-09-01,12.72123908996582
2000-09-05,12.679610252380371
2000-09-06,12.52143383026123
2000-09-07,12.637988090515137
2000-09-08,12.629666328430176
2000-09-11,12.687934875488281
2000-09-12,12.787846565246582
2000-09-13,12.787846565246582
2000-09-14,12.654631614685059
2000-09-15,12.635913848876953
2000-09-18,12.652630805969238
2000-09-19,12.669349670410156
2000-09-20,12.569064140319824
2000-09-21,12.903347969055176
2000-09-22,13.337918281555176
2000-09-25,13.220914840698242
2000-09-26,13.103915214538574
2000-09-27,13.112271308898926
2000-09-28,13.312843322753906
2000-09-29,13.362984657287598
2000-10-02,13.337918281555176
2000-10-03,13.337918281555176
2000-10-04,13.229277610778809
2000-10-05,13.538485527038574
2000-10-06,13.463274955749512
2000-10-09,13.404776573181152
2000-10-10,13.5969877243042
2000-10-11,13.58027172088623
2000-10-12,13.663839340209961
2000-10-13,13.496698379516602
2000-10-16,13.688915252685547
2000-10-17,13.805913925170898
2000-10-18,13.7975492477417
2000-10-19,13.546844482421875
2000-10-20,13.638771057128906
2000-10-23,13.78083610534668
2000-10-24,13.822624206542969
2000-10-25,14.148551940917969
2000-10-26,14.173623085021973
2000-10-27,14.014841079711914
2000-10-30,14.3407621383667
2000-10-31,14.290623664855957
2000-11-01,14.273914337158203
2000-11-02,14.165268898010254
2000-11-03,14.090056419372559
2000-11-06,14.35748291015625
2000-11-07,14.215412139892578
2000-11-08,14.541330337524414
2000-11-09,14.558046340942383
2000-11-10,14.633265495300293
2000-11-13,14.198697090148926
2000-11-14,14.37419605255127
2000-11-15,14.407622337341309
2000-11-16,14.44105052947998
2000-11-17,14.44105052947998
2000-11-20,14.399262428283691
2000-11-21,14.64161491394043
2000-11-22,14.59148120880127
2000-11-24,14.44105052947998
2000-11-27,14.733545303344727
2000-11-28,14.892333030700684
2000-11-29,15.042760848999023
2000-11-30,14.783686637878418
2000-12-01,14.566407203674316
2000-12-04,14.84218692779541
2000-12-05,14.725191116333008
2000-12-06,14.44105052947998
2000-12-07,14.64997673034668
2000-12-08,14.59148120880127
2000-12-11,14.390902519226074
2000-12-12,14.449403762817383
2000-12-13,14.7753324508667
2000-12-14,14.666692733764648
2000-12-15,14.600645065307617
2000-12-18,14.684463500976562
2000-12-19,14.82695198059082
2000-12-20,14.860477447509766
2000-12-21,14.810181617736816
2000-12-22,14.751516342163086
2000-12-26,15.044878005981445
2000-12-27,15.14544677734375
2000-12-28,15.371743202209473
2000-12-29,15.321460723876953
2001-01-02,15.120298385620117
2001-01-03,14.424626350402832
2001-01-04,13.854682922363281
2001-01-05,13.946881294250488
2001-01-08,14.039083480834961
2001-01-09,14.18995189666748
2001-01-10,14.106131553649902
2001-01-11,13.829545974731445
2001-01-12,13.812785148620605
2001-01-16,14.005558013916016
2001-01-17,13.846301078796387
2001-01-18,13.955265045166016
2001-01-19,13.846301078796387
2001-01-22,13.930122375488281
2001-01-23,14.022315979003906
2001-01-24,13.972026824951172
2001-01-25,14.265381813049316
2001-01-26,14.12289810180664
2001-01-29,14.005888938903809
2001-01-30,14.166813850402832
2001-01-31,14.204367637634277
2001-02-01,14.32774543762207
2001-02-02,14.418940544128418
2001-02-05,14.408204078674316
2001-02-06,14.472579956054688
2001-02-07,14.499395370483398
2001-02-08,14.456480026245117
2001-02-09,14.574492454528809
2001-02-12,14.697875022888184
2001-02-13,14.499395370483398
2001-02-14,14.36529541015625
2001-02-15,14.236549377441406
2001-02-16,14.28482723236084
2001-02-20,14.35456657409668
2001-02-21,14.311649322509766
2001-02-22,14.204367637634277
2001-02-23,14.097084045410156
2001-02-26,14.231188774108887
2001-02-27,14.24191665649414
2001-02-28,14.290192604064941
2001-03-01,14.156079292297363
2001-03-02,14.290192604064941
2001-03-05,14.236549377441406
2001-03-06,13.946881294250488
2001-03-07,13.855693817138672
2001-03-08,13.97370433807373
2001-03-09,14.059534072875977
2001-03-12,13.625035285949707
2001-03-13,13.55529499053955
2001-03-14,13.222721099853516
2001-03-15,13.238814353942871
2001-03-16,13.078493118286133
2001-03-19,13.229125022888184
2001-03-20,12.91171646118164
2001-03-21,12.588916778564453
2001-03-22,12.459806442260742
2001-03-23,12.755702018737793
2001-03-26,12.92785930633545
2001-03-27,13.218366622924805
2001-03-28,13.25602912902832
2001-03-29,13.288299560546875
2001-03-30,13.299059867858887
2001-04-02,13.121529579162598
2001-04-03,12.879436492919922
2001-04-04,13.046210289001465
2001-04-05,13.18071174621582
2001-04-06,13.137666702270508
2001-04-09,13.250648498535156
2001-04-10,13.234512329101562
2001-04-11,12.981657028198242
2001-04-12,13.153814315795898
2001-04-16,13.153814315795898
2001-04-17,13.444321632385254
2001-04-18,13.315203666687012
2001-04-19,13.2614107131958
2001-04-20,13.116157531738281
2001-04-23,13.18071174621582
2001-04-24,12.938605308532715
2001-04-25,13.282934188842773
2001-04-26,13.406664848327637
2001-04-27,13.481976509094238
2001-04-30,13.55729866027832
2001-05-01,13.707938194274902
2001-05-02,13.627239227294922
2001-05-03,13.55729866027832
2001-05-04,13.67565631866455
2001-05-07,13.670282363891602
2001-05-08,13.62185001373291
2001-05-09,13.691801071166992
2001-05-10,13.62185001373291
2001-05-11,13.546541213989258
2001-05-14,13.664904594421387
2001-05-15,13.584195137023926
2001-05-16,13.998456954956055
2001-05-17,14.068392753601074
2001-05-18,13.993071556091309
2001-05-21,13.982309341430664
2001-05-22,13.842436790466309
2001-05-23,13.718693733215332
2001-05-24,13.777874946594238
2001-05-25,13.664904594421387
2001-05-29,13.777874946594238
2001-05-30,13.853192329406738
2001-05-31,13.756361961364746
2001-06-01,13.939278602600098
2001-06-04,13.960789680480957
2001-06-05,14.106051445007324
2001-06-06,13.880098342895508
2001-06-07,13.976929664611816
2001-06-08,13.896234512329102
2001-06-11,13.702557563781738
2001-06-12,13.863953590393066
2001-06-13,13.756361961364746
2001-06-14,13.745597839355469
2001-06-15,13.665177345275879
2001-06-18,13.708358764648438
2001-06-19,13.751531600952148
2001-06-20,13.827091217041016
2001-06-21,13.945822715759277
2001-06-22,13.557243347167969
2001-06-25,13.48707103729248
2001-06-26,13.48707103729248
2001-06-27,13.384532928466797
2001-06-28,13.470890998840332
2001-06-29,13.120084762573242
2001-07-02,13.422314643859863
2001-07-03,13.31437873840332
2001-07-05,13.233429908752441
2001-07-06,13.076906204223633
2001-07-09,13.27659797668457
2001-07-10,13.168659210205078
2001-07-11,13.098499298095703
2001-07-12,13.017541885375977
2001-07-13,13.114686012268066
